feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.01890989746316336,0.12511007611163535,20,1
employment_count_10min,0.0122741652012337,0.08709420308135506,20,2
employment_count_15min,0.005354571714997291,0.06344890169905498,20,3
employment_forced_walk_burden,0.004803266515045835,0.020170971865475867,20,4
grocery_mean_time,0.003164667926466791,0.015572154505954795,20,5
grocery_forced_walk_burden,0.0018485212340237922,0.00952477573436801,20,6
healthcare_car_effective_access,0.001786122298653936,0.013138710541564244,20,7
healthcare_median_time,0.0013819599291309715,0.006753493936000227,20,8
healthcare_min_time,0.0013688373637705809,0.006379561349659305,20,9
grocery_percentile,0.001364173924730494,0.0065755884190283305,20,10
employment_transit_dependence,0.0010243463572351176,0.0033005686239754315,20,11
healthcare_count_10min,0.0008908844168672658,0.002834750942878923,20,12
build_to_land_ratio,0.0007595729915919946,0.0038376913312256995,20,13
healthcare_percentile,0.000610075006943589,0.003524393988431948,20,14
employment_min_time,0.0005891990791496937,0.0024302251490505113,20,15
employment_modal_access_gap,0.00046697142242919655,0.004093252730605658,20,16
log_bldg_footprint_m2,0.000337939282599109,0.002031631940913029,20,17
log_appvalue,0.00027410983711888547,0.0011271513301468951,20,18
healthcare_count_15min,0.0002716922786930809,0.0011650953843244892,20,19
nlcd_land_cover,0.0001994705226024962,0.001070855550932314,20,20
healthcare_count_5min,0.00010010718970079324,0.0006286941031833246,20,21
in_sfha,7.897376900416475e-05,0.0003610473822036674,20,22
healthcare_dispersion,4.340171874446241e-05,0.0001301111805178041,20,23
grocery_dispersion,4.037856946297325e-05,0.00020041319307190558,20,24
employment_dispersion,3.45230094467297e-05,0.00014674475224605245,20,25
proptype_rental_40pct,2.3641586261646806e-05,7.195705935095615e-05,20,26
healthcare_time_range,2.329826420464087e-05,0.0002419391995083537,20,27
healthcare_drive_advantage,1.7967224300718955e-05,8.826708787723054e-05,20,28
grocery_drive_advantage,9.55581681409967e-06,4.4191857960416854e-05,20,29
employment_drive_advantage,2.6702881143592093e-06,7.563861702362497e-06,20,30
proptype_commercial,1.3256075362733099e-06,8.208304631379855e-05,20,31
lucode_industrial,6.103515488575795e-07,2.7878763188739066e-06,20,32
lucode_commercial,3.8146970382513244e-08,1.1200572688622036e-06,20,33
population,0.0,0.0,20,34
pct_uninsured,0.0,0.0,20,35
pct_unemployed,0.0,0.0,20,36
pct_no_vehicle,0.0,0.0,20,37
housing_units,0.0,0.0,20,38
pct_poverty,0.0,0.0,20,39
pct_no_hs_diploma,0.0,0.0,20,40
pct_crowded,0.0,0.0,20,41
pct_mobile_homes,0.0,0.0,20,42
employment_time_range,-3.7765503066111706e-06,1.596805116648603e-05,20,43
proptype_cha_housing,-5.531311398954131e-06,7.89679202051108e-05,20,44
grocery_time_range,-5.817413170916552e-06,4.58377087065972e-05,20,45
proptype_apartment_10plus,-2.717017887334805e-05,0.00020343234794240083,20,46
employment_percentile,-4.5127869634598027e-05,0.0003121071846649283,20,47
log_acres,-6.921768406300543e-05,0.0009875207764158892,20,48
proptype_residential,-7.565498376607138e-05,0.0002675200122359837,20,49
grocery_count_10min,-8.324623395310482e-05,0.0162102146536903,20,50
is_residential,-0.00012219429140714055,0.0003937534082485192,20,51
healthcare_forced_walk_burden,-0.0001751375172716507,0.0013785579986538327,20,52
grocery_car_effective_access,-0.00034437177891959435,0.0037216298974829722,20,53
lucode_residential,-0.000449323654163436,0.001851514902884243,20,54
lucode_other,-0.0006061935238903971,0.0027092210081761325,20,55
grocery_modal_access_gap,-0.0006105566059886769,0.004813125371814957,20,56
employment_car_effective_access,-0.0008012294652871788,0.002875744730393114,20,57
grocery_count_15min,-0.0009197855844831793,0.01565974688939933,20,58
grocery_median_time,-0.001009454769155127,0.007154062109039438,20,59
bldg_vertex_count,-0.001279454278301273,0.006342649591479399,20,60
employment_median_time,-0.0016833496359140554,0.003829800924498496,20,61
grocery_min_time,-0.0017001723773319099,0.005730363651299127,20,62
healthcare_mean_time,-0.001847753559778198,0.005654060562598921,20,63
grocery_walk_effective_access,-0.0027267692566965707,0.033788391240501245,20,64
healthcare_walk_effective_access,-0.002864341732970388,0.01377090232806048,20,65
nlcd_tree_canopy_pct,-0.0037771653893287293,0.025433703477576817,20,66
employment_mean_time,-0.003916721409404999,0.019069061274742016,20,67
grocery_count_5min,-0.003992347763778525,0.014089111557522637,20,68
healthcare_transit_dependence,-0.005992083485762123,0.018364322884461822,20,69
grocery_transit_dependence,-0.006664233119226992,0.026264196673505366,20,70
nlcd_impervious_pct,-0.006930566199298482,0.03660063889895389,20,71
healthcare_modal_access_gap,-0.010091104358434678,0.02917016840580039,20,72
employment_count_5min,-0.026518387321266344,0.15441121740681263,20,73
