feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.01762648075236939,0.1252019619507609,20,1
employment_count_10min,0.012123866128968075,0.08711563830923197,20,2
employment_count_15min,0.005846019182354212,0.06321368280071449,20,3
employment_forced_walk_burden,0.004814863194769714,0.02016800451541958,20,4
grocery_mean_time,0.0031181286183709746,0.015581559023401003,20,5
grocery_forced_walk_burden,0.0018902540219642105,0.009515258925742275,20,6
healthcare_car_effective_access,0.0018373918159340975,0.013149725328652774,20,7
healthcare_median_time,0.0014016056193213444,0.006747890078244034,20,8
grocery_percentile,0.001368904149330774,0.0065745812980546985,20,9
healthcare_min_time,0.0013268375467305304,0.006384408567603875,20,10
employment_transit_dependence,0.0010338068065266271,0.0032974945230179334,20,11
healthcare_count_10min,0.0008657074156417366,0.002839242428977671,20,12
build_to_land_ratio,0.0007355785459367325,0.0038415274277208895,20,13
healthcare_percentile,0.0006005382637795265,0.003525704973230773,20,14
employment_min_time,0.0005976677070066216,0.0024276159898983115,20,15
employment_modal_access_gap,0.0004695272698882036,0.00409319143026539,20,16
log_bldg_footprint_m2,0.0003378248419721785,0.002031643086068912,20,17
log_appvalue,0.0002730798688617142,0.001127402357314424,20,18
healthcare_count_15min,0.00024796486140985505,0.0011659057063727646,20,19
nlcd_land_cover,0.00021217346456978703,0.0010684113209792718,20,20
grocery_count_10min,0.00014586446286557475,0.01612269097963689,20,21
healthcare_count_5min,9.964942601072834e-05,0.0006287612943948456,20,22
in_sfha,7.893562203094006e-05,0.00036105612079855465,20,23
healthcare_dispersion,4.240989744630497e-05,0.00013029004623838934,20,24
grocery_dispersion,4.037856946297325e-05,0.00020041319307190558,20,25
employment_dispersion,3.467559737373449e-05,0.0001466676130476105,20,26
healthcare_time_range,2.7799607050837948e-05,0.00024269277255828167,20,27
proptype_rental_40pct,2.341270441661436e-05,7.206895485761575e-05,20,28
healthcare_drive_advantage,1.8196106145751402e-05,8.82239701906759e-05,20,29
grocery_drive_advantage,9.55581681409967e-06,4.4191857960416854e-05,20,30
proptype_commercial,5.025863811169984e-06,8.147758043824747e-05,20,31
employment_drive_advantage,2.4414062693267622e-06,7.572362470952383e-06,20,32
lucode_industrial,3.8146970382513246e-07,2.6283702273498803e-06,20,33
lucode_commercial,1.1444091683188162e-07,1.1682536064142607e-06,20,34
population,0.0,0.0,20,35
pct_unemployed,0.0,0.0,20,36
pct_uninsured,0.0,0.0,20,37
housing_units,0.0,0.0,20,38
pct_poverty,0.0,0.0,20,39
pct_no_hs_diploma,0.0,0.0,20,40
pct_crowded,0.0,0.0,20,41
pct_no_vehicle,0.0,0.0,20,42
pct_mobile_homes,0.0,0.0,20,43
employment_time_range,-3.7765503066111706e-06,1.596805116648603e-05,20,44
proptype_cha_housing,-4.425049337442033e-06,8.037326580753184e-05,20,45
grocery_time_range,-5.817413170916552e-06,4.58377087065972e-05,20,46
proptype_apartment_10plus,-2.69794440100668e-05,0.00020348353391473067,20,47
employment_percentile,-4.795074546564138e-05,0.0003124048520484639,20,48
proptype_residential,-7.493019128617107e-05,0.00026771182399917067,20,49
log_acres,-7.543564031493588e-05,0.0009863251524947507,20,50
is_residential,-0.0001250553143563593,0.0003925873196056146,20,51
healthcare_forced_walk_burden,-0.00017757892351255578,0.0013782106992595768,20,52
grocery_car_effective_access,-0.00031957624669303185,0.0037110694473073487,20,53
lucode_residential,-0.00044844627371958267,0.0018517545900885622,20,54
lucode_other,-0.0006060027890271158,0.0027092640301673776,20,55
grocery_count_15min,-0.0007024241331237135,0.015676560392635475,20,56
employment_car_effective_access,-0.0008263683208497241,0.0028666307134202515,20,57
grocery_modal_access_gap,-0.0008576726901992516,0.004546546112143059,20,58
grocery_median_time,-0.001018533748720074,0.00715253820920347,20,59
bldg_vertex_count,-0.0012535524838312995,0.006349420167977243,20,60
employment_median_time,-0.0016223907695348317,0.003832720049971728,20,61
grocery_min_time,-0.0017189025417792437,0.005722842809802019,20,62
healthcare_mean_time,-0.0018574810363503503,0.005651498683012796,20,63
grocery_walk_effective_access,-0.0024465797425364142,0.03380487586408262,20,64
healthcare_walk_effective_access,-0.002815475460124617,0.013780701629970396,20,65
nlcd_tree_canopy_pct,-0.003792881935078185,0.025432530226468637,20,66
employment_mean_time,-0.003878574438203941,0.019077527136759816,20,67
grocery_count_5min,-0.004099197433606605,0.0140514986853269,20,68
healthcare_transit_dependence,-0.006033472948183771,0.018347586102192164,20,69
grocery_transit_dependence,-0.006559252651641145,0.02629058648025503,20,70
nlcd_impervious_pct,-0.006749940277950372,0.03663295000179834,20,71
healthcare_modal_access_gap,-0.010494088963605463,0.02910979827577101,20,72
employment_count_5min,-0.024603218559059316,0.15460344653431635,20,73
