condition,arch,training_seed,graph_draw_seed,morans_i,within_tract_std,pooled_bg_r,n_tracts,runtime_s
spatial_knn_uniform,sage,42,42,0.8590809324660265,0.07547543793488946,0.7600519710055784,20,761.9
spatial_knn_uniform,sage,17,42,0.8605849266742517,0.0682414830940033,0.7570468089294906,20,694.2
spatial_knn_uniform,sage,123,42,0.8874622151006413,0.09315339046639819,0.7603821520004304,20,684.6
spatial_knn_uniform,sage,2024,42,0.8712694099748205,0.09419725171003278,0.7762140870158633,20,693.6
spatial_knn_uniform,sage,7,42,0.8831171988743296,0.1185282406801911,0.7636023028455146,20,698.7
spatial_knn_uniform,gcn_gat,42,42,0.8918812549675007,0.08493233834417299,0.7683391996343691,20,684.8
spatial_knn_uniform,gcn_gat,17,42,0.8888481763276387,0.0887954796550148,0.8031765120852264,20,671.9
spatial_knn_uniform,gcn_gat,123,42,0.8968454247850595,0.09235307651087907,0.7469180481382512,20,672.8
spatial_knn_uniform,gcn_gat,2024,42,0.8689154802236123,0.10654279423336613,0.7488383572719794,20,673.0
spatial_knn_uniform,gcn_gat,7,42,0.8760011576747262,0.09839421954959826,0.7637086323435752,20,675.0
road_network_uniform,sage,42,42,0.8164725536467798,0.07970103882687449,0.7652423421693775,20,732.8
road_network_uniform,sage,17,42,0.798612812124666,0.06629791669530676,0.7631051057905858,20,723.8
road_network_uniform,sage,123,42,0.8350390144451264,0.0935657137498424,0.7643855664081826,20,730.8
road_network_uniform,sage,2024,42,0.8662359219519722,0.10075993528514979,0.7611640143504159,20,729.1
road_network_uniform,sage,7,42,0.8574962970559795,0.11560010776420857,0.7602314317135913,20,742.8
road_network_uniform,gcn_gat,42,42,0.8236208623923049,0.0834944584386716,0.7697829806362955,20,749.5
road_network_uniform,gcn_gat,17,42,0.8108566378707286,0.08697428375431855,0.7867683102809191,20,737.9
road_network_uniform,gcn_gat,123,42,0.8152882655661559,0.09594655262201171,0.7441517954265894,20,743.6
road_network_uniform,gcn_gat,2024,42,0.8010280937078719,0.1054326765023285,0.7605593343489101,20,747.4
road_network_uniform,gcn_gat,7,42,0.8326451486749737,0.10537227341882631,0.7600088216546902,20,751.1
randomized,sage,42,42,0.4262793197541444,0.05596254103504783,0.7721264412405789,20,711.6
randomized,sage,42,17,0.4031079324830933,0.05753591352554388,0.7748739345153892,20,716.6
randomized,sage,42,123,0.4310826971328221,0.0591680513433804,0.7729672471994762,20,713.3
randomized,sage,42,2024,0.4394687592924357,0.05831545866897832,0.7666496654491236,20,716.6
randomized,sage,42,7,0.4086914268886582,0.05549588011127443,0.771138398939016,20,720.6
randomized,gcn_gat,42,42,0.0754834225594079,0.06745452397624532,0.7674341750801348,20,741.4
randomized,gcn_gat,42,17,0.07218134213313354,0.06897047727151644,0.7617226219172516,20,736.0
randomized,gcn_gat,42,123,0.07710499966225069,0.062470024204897535,0.7639344943937415,20,721.2
randomized,gcn_gat,42,2024,0.07678687615320656,0.06386275905250458,0.7694334758345925,20,724.3
randomized,gcn_gat,42,7,0.0710656084810903,0.07145342448171169,0.7636934305980321,20,722.1
production,sage,42,42,0.8526593942030113,0.08232066893127045,0.7536965003138819,20,711.8
production,sage,17,42,0.8243352368116078,0.064301620675708,0.7610589602160185,20,710.3
production,sage,123,42,0.8381244745069235,0.08850635843971265,0.7621011332769468,20,718.0
production,sage,2024,42,0.8518951160572173,0.09907877139927701,0.7723950159489666,20,716.6
production,sage,7,42,0.8723224328557017,0.11516938413321105,0.7668504195027136,20,723.4
production,gcn_gat,42,42,0.8240482079444995,0.08142486351387092,0.7664314601020286,20,717.6
production,gcn_gat,17,42,0.8116426945954507,0.08662768248631032,0.7852330808167858,20,723.1
production,gcn_gat,123,42,0.8549501243505044,0.09233696856838466,0.7553629594115557,20,719.9
production,gcn_gat,2024,42,0.8136590093112529,0.09656893467602115,0.7408173068638129,20,732.5
production,gcn_gat,7,42,0.826299097122004,0.09610762876092879,0.7718989848835456,20,728.2
